title,artist,album,release_date,url,image_url,year,genre,mood
Ustaha Ganamu,Saketh Komanduri,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/2tpr7RDkF3999DDj1hj2lf,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Sainyamulaku Adhipathi,Ramu,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/1jr9DeQQ1gS1U5ntHCu8Jt,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Dayaluda,Saketh Komanduri,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/7u4OPEwZXW0LkxsrOSaYM8,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Vedithini Krupa,Rahul,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/0Z3iIixYhvLLcIgJgkjnaw,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Israyelu,Rahul,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/1u6DEXUV6FIvkB40bmueNi,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Evani Pampedano,Jolly Antony,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/5uVzEzNpAWRTXc5CyVuLZv,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Prabhuvu Athyunnathudu,Rahul,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/7ypSzp0CVItGiw5Q8G4Qjq,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Roopinchu Hastamulo,Saketh Komanduri,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/4ClE9mGtxSnDieGtShSHGO,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Aaradhana Sthuthi,Saketh Komanduri,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/4amToLwp8bX9S1dEJHBksv,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Krupamayuda,Rahul,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/1llCdLgpnN3KHI32ZlHNIZ,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Nannu Rakshinchina,Jolly Antony,Dayamayudu (Telugu Christian songs),2000,https://open.spotify.com/track/4QzqZS9ar09ImkyXwGlLOT,https://i.scdn.co/image/ab67616d0000b2732630137c3b1c57da09069092,2000,Romantic,Happy
Aaradhinche,Saketh Komanduri,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/4YgUJTqqwxAB98OczVDrzw,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
Adhbhuthakarudu,Jolly Antony,Krupamayuda (Telugu Christian songs),2000,https://open.spotify.com/track/0IdTEBzzsgTTJtt47VEBik,https://i.scdn.co/image/ab67616d0000b273cc0ea9e7b7a4f027ca869bf8,2000,Romantic,Happy
